 ,ID,X (pixels),Y (pixels),Radius (pixels),Score,nCircles,Resolution,Frame (slice #),Method
1,1,253,376,17,0.665,38,233,1,Full
2,2,256,406,17,0.627,38,233,1,Full
3,3,264,341,17,0.549,38,233,1,Full
4,4,273,375,19,0.545,38,233,1,Full
5,5,458,263,17,0.502,38,233,1,Full
6,6,238,357,25,0.498,38,233,1,Full
7,7,561,332,17,0.468,38,233,1,Full
8,8,562,372,17,0.459,38,233,1,Full
9,9,245,391,22,0.438,38,233,1,Full
10,10,574,358,17,0.429,38,233,1,Full
11,11,469,250,18,0.425,38,233,1,Full
12,12,432,254,18,0.421,38,233,1,Full
13,13,277,356,21,0.399,38,233,1,Full
14,14,449,248,17,0.391,38,233,1,Full
15,15,448,277,17,0.391,38,233,1,Full
16,16,224,398,20,0.382,38,233,1,Full
17,17,281,393,17,0.378,38,233,1,Full
18,18,352,272,17,0.361,38,233,1,Full
19,19,316,517,18,0.356,38,233,1,Full
20,20,294,528,18,0.352,38,233,1,Full
21,21,537,500,17,0.352,38,233,1,Full
22,22,473,271,17,0.348,38,233,1,Full
23,23,150,328,17,0.348,38,233,1,Full
24,24,572,393,17,0.343,38,233,1,Full
25,25,262,324,18,0.335,38,233,1,Full
26,26,505,269,17,0.335,38,233,1,Full
27,27,622,624,17,0.335,38,233,1,Full
28,28,581,378,17,0.330,38,233,1,Full
29,29,241,414,29,0.330,38,233,1,Full
30,30,622,650,17,0.330,38,233,1,Full
31,31,589,399,21,0.322,38,233,1,Full
32,32,383,276,17,0.318,38,233,1,Full
33,33,497,254,24,0.313,38,233,1,Full
34,34,298,324,20,0.313,38,233,1,Full
35,35,313,293,17,0.305,38,233,1,Full
36,36,334,300,17,0.305,38,233,1,Full
37,37,535,262,17,0.300,38,233,1,Full
38,38,538,316,17,0.300,38,233,1,Full
