 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,3,1,3,3,3,3.081,1,0,3.414
2,1,0,2,0,10,13.899,0,0,13.899
3,1,0,2,0,3,4.828,0,0,4.828
4,0,0,1,0,0,0.000,0,0,0.000
5,1,0,2,0,20,24.314,0,0,24.314
6,0,0,1,0,0,0.000,0,0,0.000
7,1,0,2,0,0,1.414,0,0,1.414
8,7,3,5,9,10,4.055,3,0,8.657
9,1,0,2,0,1,2.000,0,0,2.000
10,1,0,2,0,4,5.414,0,0,5.414
11,1,0,2,0,0,1.000,0,0,1.000
12,1,0,2,0,3,4.414,0,0,4.414
13,1,0,2,0,2,3.828,0,0,3.828
14,1,0,2,0,12,14.657,0,0,14.657
15,1,0,2,0,4,5.828,0,0,5.828
16,1,0,2,0,2,3.828,0,0,3.828
17,1,0,2,0,3,4.828,0,0,4.828
18,1,0,2,0,3,4.414,0,0,4.414
19,1,0,2,0,3,4.828,0,0,4.828
20,1,0,2,0,8,9.828,0,0,9.828
21,1,0,2,0,6,8.657,0,0,8.657
22,1,0,2,0,6,9.071,0,0,9.071
23,1,0,2,0,5,7.243,0,0,7.243
24,1,0,2,0,4,6.243,0,0,6.243
25,1,0,2,0,0,1.000,0,0,1.000
26,1,0,2,0,2,3.828,0,0,3.828
27,6,2,5,9,19,6.407,1,1,11.301
28,1,0,2,0,0,1.414,0,0,1.414
29,1,0,2,0,1,2.000,0,0,2.000
30,1,0,2,0,0,1.000,0,0,1.000
31,1,0,2,0,6,8.243,0,0,8.243
32,3,1,3,1,2,2.690,1,0,2.828
33,1,0,2,0,0,1.414,0,0,1.414
34,1,0,2,0,2,4.243,0,0,4.243
35,1,0,2,0,5,7.243,0,0,7.243
36,4,1,3,6,7,5.162,0,0,6.414
37,0,0,1,0,0,0.000,0,0,0.000
38,7,2,6,12,36,9.549,1,0,19.314
39,1,0,2,0,0,1.414,0,0,1.414
40,1,0,2,0,0,1.000,0,0,1.000
41,1,0,2,0,1,2.414,0,0,2.414
42,0,0,1,0,0,0.000,0,0,0.000
43,1,0,2,0,1,2.414,0,0,2.414
44,1,0,2,0,0,1.000,0,0,1.000
45,0,0,1,0,0,0.000,0,0,0.000
46,1,0,2,0,4,5.828,0,0,5.828
47,1,0,2,0,0,1.414,0,0,1.414
48,3,1,3,5,47,20.899,1,0,34.971
49,3,1,3,4,1,2.552,1,0,2.828
50,1,0,2,0,1,2.828,0,0,2.828
